epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.293,1.22595,5.55419,1.4733,0.53353,0.20355,0.18415,0.08397,1.70241,7.77254,2.06067,0.00047442,0.00047442,0.00047442
2,286.503,1.42155,2.93836,1.60007,0.2783,0.3932,0.32468,0.17547,1.75362,3.38901,1.80615,0.000919379,0.000919379,0.000919379
3,411.396,1.46022,2.3895,1.60032,0.31374,0.2342,0.19437,0.08079,2.20925,3.0384,2.08985,0.0013329,0.0013329,0.0013329
4,535.864,1.42389,2.27174,1.58252,0.48268,0.39121,0.39155,0.20215,1.59081,2.34268,1.70691,0.00128753,0.00128753,0.00128753
5,660.736,1.32636,2.00159,1.49266,0.61765,0.48122,0.51531,0.31497,1.41227,1.87019,1.48566,0.00124037,0.00124037,0.00124037
6,787.869,1.2498,1.78181,1.43472,0.63147,0.5444,0.58507,0.40003,1.30935,1.74251,1.3944,0.00119322,0.00119322,0.00119322
7,912.371,1.22159,1.69591,1.41488,0.59352,0.61054,0.54739,0.36478,1.3307,1.98424,1.35665,0.00114606,0.00114606,0.00114606
8,1038.93,1.15152,1.60551,1.37396,0.5747,0.58847,0.57438,0.37338,1.3714,1.83888,1.40731,0.0010989,0.0010989,0.0010989
9,1163.21,1.12268,1.53984,1.35765,0.69937,0.60508,0.64003,0.43395,1.24165,1.3114,1.31535,0.00105174,0.00105174,0.00105174
10,1289.5,1.09449,1.49123,1.33294,0.78695,0.56861,0.66682,0.43895,1.24334,1.42536,1.31054,0.00100459,0.00100459,0.00100459
11,1414.49,1.08046,1.44353,1.32852,0.79792,0.59375,0.6792,0.47351,1.19303,1.20944,1.25127,0.00095743,0.00095743,0.00095743
12,1541.39,1.08042,1.40498,1.31291,0.76246,0.63648,0.69334,0.49882,1.05533,1.26905,1.13807,0.000910273,0.000910273,0.000910273
13,1666.06,1.01486,1.3106,1.27233,0.75756,0.57634,0.65413,0.46199,1.17133,1.32614,1.25076,0.000863116,0.000863116,0.000863116
14,1790.62,1.01704,1.31134,1.26684,0.77993,0.62863,0.68293,0.46393,1.17045,1.21242,1.26405,0.000815959,0.000815959,0.000815959
15,1917.61,0.98814,1.2623,1.26055,0.78093,0.68926,0.72774,0.50805,1.09677,1.07988,1.16488,0.000768802,0.000768802,0.000768802
16,2041.48,0.94992,1.22602,1.23429,0.84043,0.66474,0.72907,0.51959,1.13778,1.0967,1.17602,0.000721645,0.000721645,0.000721645
17,2167.39,0.95082,1.18616,1.22688,0.86535,0.60615,0.72081,0.52994,0.96983,0.97147,1.07455,0.000674488,0.000674488,0.000674488
18,2294.17,0.9159,1.17762,1.21158,0.85349,0.70831,0.76554,0.55591,1.03133,0.9835,1.09815,0.000627331,0.000627331,0.000627331
19,2422.63,0.90527,1.12025,1.21139,0.8754,0.70825,0.78007,0.53888,1.10534,0.9821,1.1666,0.000580174,0.000580174,0.000580174
20,2548.61,0.90289,1.13837,1.21213,0.83718,0.69263,0.76154,0.56215,0.98807,1.03301,1.08042,0.000533017,0.000533017,0.000533017
21,2667.86,1.00948,1.07364,1.30898,0.81577,0.70442,0.75732,0.55018,0.97738,0.95501,1.09572,0.00048586,0.00048586,0.00048586
22,2782.24,0.97355,1.00522,1.27606,0.80194,0.71495,0.76475,0.56486,0.94607,0.91958,1.04233,0.000438703,0.000438703,0.000438703
23,2896.09,0.93334,0.96845,1.24276,0.92059,0.66169,0.7767,0.5722,0.94469,0.91131,1.04688,0.000391546,0.000391546,0.000391546
24,3011,0.91388,0.92634,1.24324,0.78079,0.73026,0.76206,0.55037,0.96901,0.94419,1.07645,0.000344389,0.000344389,0.000344389
25,3125.17,0.89886,0.90079,1.22476,0.82462,0.74012,0.77304,0.57472,0.9148,0.85882,1.01731,0.000297232,0.000297232,0.000297232
26,3239.13,0.87746,0.88531,1.22003,0.83885,0.70808,0.76245,0.57152,0.90706,0.89261,1.01721,0.000250075,0.000250075,0.000250075
27,3354.05,0.85545,0.87096,1.20336,0.88418,0.70962,0.77895,0.59959,0.83115,0.81552,0.95893,0.000202918,0.000202918,0.000202918
28,3467.94,0.82242,0.81551,1.1892,0.85014,0.7426,0.78345,0.59863,0.83941,0.80815,0.9681,0.000155761,0.000155761,0.000155761
29,3583.35,0.79879,0.80578,1.1603,0.87565,0.75388,0.79345,0.60527,0.82904,0.79341,0.94502,0.000108604,0.000108604,0.000108604
30,3698.5,0.79747,0.78565,1.1729,0.84735,0.74509,0.78582,0.60929,0.79521,0.78382,0.93105,6.1447e-05,6.1447e-05,6.1447e-05
